Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
134.221.96.11-74.251.0.152-0-0-0;1342219611;0;742510152;0;0;25/03/2025 00:01;29651432;1;1;0;0;0;0;0;0;0;0;0;0;0;0.0674503679957177;2,97E+14;0;2,97E+14;2,97E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,37E+15;3,37E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;2,97E+14;0;2,97E+14;2,97E+14;0
134.221.96.9-85.132.0.233-0-0-0;134221969;0;851320233;0;0;25/03/2025 00:02;14423;1;1;0;0;0;0;0;0;0;0;0;0;0;13.866.740.622.616.600;144230;0;144230;144230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,93E+15;6,93E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.6-147.1.2.29-0-0-0;134221966;0;1471229;0;0;25/03/2025 00:01;8308;4;1;0;0;0;0;0;0;0;0;0;0;0;601.829.561.868.079;20770;2,77E+16;62250;5840;75330;25110;3,22E+16;62250;5840;0;0;0;0;0;0;0;0;0;0;0;4,81E+15;1,20E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.1.30-0-0-0;134221960;0;130;0;0;25/03/2025 00:00;76566528;2;1;0;0;0;0;0;0;0;0;0;0;0;0.0391816121007863;3,83E+14;3,07E+23;6,00E+14;1,66E+14;1,66E+14;1,66E+14;0;1,66E+14;1,66E+14;0;0;0;0;0;0;0;0;0;0;0;2,61E+15;1,31E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;3,83E+14;3,07E+23;6,00E+14;1,66E+14;0
134.221.96.7-160.193.0.32-0-0-0;134221967;0;160193032;0;0;25/03/2025 00:02;45092491;2;1;0;0;0;0;0;0;0;0;0;0;0;0.0665299240177261;2,25E+15;3,19E+22;4,51E+14;120870;4,51E+14;4,51E+14;0;4,51E+14;4,51E+14;0;0;0;0;0;0;0;0;0;0;0;4,44E+16;2,22E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;120870;0;120870;120870;4,51E+14;0;4,51E+14;4,51E+14;0
134.221.96.15-78.40.0.39-0-0-0;1342219615;0;7840039;0;0;25/03/2025 00:00;12134;7;1;0;0;0;0;0;0;0;0;0;0;0;6.593.044.338.223.170;1,73E+16;3,28E+16;87600;360;118730;1,98E+16;3,52E+15;87600;360;0;0;0;0;0;0;0;0;0;0;0;5,77E+15;8,24E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.1.56-0-0-0;134221960;0;156;0;0;25/03/2025 00:00;10118263;1;1;0;0;0;0;0;0;0;0;0;0;0;0.1976623853323441;1,01E+14;0;1,01E+14;1,01E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,88E+15;9,88E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;1,01E+14;0;1,01E+14;1,01E+14;0
134.221.96.13-101.235.0.31-0-0-0;1342219613;0;101235031;0;0;25/03/2025 00:02;8263520;4;1;0;0;0;0;0;0;0;0;0;0;0;0.6050690262745174;20658800;4,00E+16;80664180;27500;1971020;6,57E+15;6,44E+15;1313970;27500;0;0;0;0;0;0;0;0;0;0;0;4,84E+16;1,21E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;-1;-1;0;0;0;0;0;0;80664180;0;80664180;80664180;0
134.221.96.3-193.88.5.180-0-0-0;134221963;0;193885180;0;0;25/03/2025 00:01;238;3;1;0;0;0;0;0;0;0;0;0;0;0;1.680.672.268.907.560;7,93E+15;1,37E+16;2380;0;2380;1190;1,68E+15;2380;0;0;0;0;0;0;0;0;0;0;0;0;1,26E+16;4,20E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.8-92.240.0.20-0-0-0;134221968;0;92240020;0;0;25/03/2025 00:01;37355;2;1;0;0;0;0;0;0;0;0;0;0;0;8.031.053.406.505.150;186775;1,71E+16;198840;174710;174710;174710;0;174710;174710;0;0;0;0;0;0;0;0;0;0;0;5,35E+15;2,68E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
